iata_code,name,latitude_deg,longitude_deg,municipality,country_name
UTK,Utirik Airport,11.222219,169.851429,Utirik Island,Marshall Islands
OCA,Ocean Reef Club Airport,25.325399,-80.274803,Key Largo,United States
CSE,Crested Butte Airpark,38.851918,-106.928341,Crested Butte,United States
CUS,Columbus Airport,31.823898,-107.629924,Columbus,United States
JCY,LBJ Ranch Airport,30.251801,-98.622498,Stonewall,United States
NUP,Nunapitchuk Airport,60.905591,-162.440454,Nunapitchuk,United States
ICY,Icy Bay Airport,59.966269,-141.660118,Icy Bay,United States
KKK,Kalakaket Creek AS Airport,64.4166257,-156.8203926,Kalakaket Creek,United States
MHS,Dunsmuir Muni-Mott Airport,41.263199,-122.272003,Dunsmuir,United States
NIR,Chase Field Industrial Airport,28.362444,-97.661917,Beeville,United States
GCT,Grand Canyon Bar Ten Airstrip,36.257984,-113.231063,Littlefield,United States
LVD,Lime Village Airport,61.35910034,-155.4400024,Lime Village,United States
HGZ,Hog River Airport,66.176133,-155.684816,Hogatza,United States
OTN,Ed-Air Airport,38.851782,-87.49987,Oaktown,United States
TLF,Telida Airport,63.393902,-153.268997,Telida,United States
BZT,Eagle Air Park,28.98220062,-95.57969666,Brazoria,United States
BYW,Blakely Island Airport,48.579162,-122.823844,Blakely Island,United States
DRF,Drift River Airport,60.588901519800004,-152.1620026,Kenai,United States
BDF,Rinkenberger Restricted Landing Area,41.230899810800004,-89.61569977,Bradford,United States
TEH,Tetlin Airport,63.124618,-142.518005,Tetlin,United States
VRS,Roy Otten Memorial Airfield,38.42779922,-92.87519836,Versailles,United States
ATT,Atmautluak Airport,60.866699,-162.272996,Atmautluak,United States
LIV,Livengood Camp Airport,65.467,-148.6534,Livengood,United States
PDB,Pedro Bay Airport,59.796925,-154.129994,Pedro Bay,United States
KOZ,Ouzinkie Airport,57.942094,-152.464314,Ouzinkie,United States
TNK,Tununak Airport,60.569638,-165.246649,Tununak,United States
MNT,Minto Al Wright Airport,65.147991,-149.368658,Minto,United States
WKK,Aleknagik / New Airport,59.2826004,-158.6179962,Aleknagik,United States
RFK,Rollang Field,32.953543,-90.845144,Rolling Fork,United States
NNK,Naknek Airport,58.735633,-157.02216,Naknek,United States
BCS,Southern Seaplane Airport,29.866078,-90.021608,Belle Chasse,United States
MMN,Minute Man Air Field,42.460298,-71.519031,Stow,United States
BWL,Earl Henry Airport,36.79589844,-97.31700134,Blackwell,United States
CWS,Center Island Airport,48.490046,-122.831612,Center Island,United States
TEK,Tatitlek Airport,60.871449,-146.690297,Tatitlek,United States
DUF,Pine Island Airport,36.252744,-75.785256,Corolla,United States
SSW,Stuart Island Airpark,48.673379,-123.175439,Friday Harbor,United States
FOB,Fort Bragg Airport,39.472445,-123.795319,Fort Bragg,United States
AXB,Maxson Airfield,44.312002,-75.90034,Alexandria Bay,United States
REE,Reese Airpark,33.59030151,-102.0370026,Lubbock,United States
WDN,Waldron Airstrip,48.71141,-123.018208,Eastsound,United States
CHU,Chuathbaluk Airport,61.579102,-159.216003,Chuathbaluk,United States
UGS,Ugashik Airport,57.523476,-157.396344,Ugashik,United States
KLL,Levelock Airport,59.12606,-156.860906,Levelock,United States
WTL,Tuntutuliak Airport,60.351243,-162.654476,Tuntutuliak,United States
TWA,Twin Hills Airport,59.074713,-160.274992,Twin Hills,United States
KCQ,Chignik Lake Airport,56.255001,-158.774994,Chignik Lake,United States
AAD,Adado Airport,6.095802,46.6375,Adado,Somalia
ABP,Atkamba Airport,-6.06462,141.095173,Atkamba Mission,Papua New Guinea
ACM,Arica Airport,-2.143713,-71.75935,Arica,Colombia
ADV,El Daein Airport,11.4023,26.1186,El Daein,Sudan
AEE,Adareil Airport,10.053611,32.959444,Adar,South Sudan
AEQ,Ar Horqin Airport,43.908407,120.15099,Chifeng,China
BBQ,Burton-Nibbs International Airport,17.621194,-61.798347,Codrington,Antigua and Barbuda
AFT,Afutara Aerodrome,-9.191389,160.948611,Bila,Solomon Islands
RNA,Ulawa Airport,-9.860543583,161.9795465,Arona,Solomon Islands
ATD,Uru Harbour Airport,-8.87333,161.011002,Atoifi,Solomon Islands
VEV,Barakoma Airport,-7.912779808,156.70599365234375,Barakoma,Solomon Islands
BPF,Batuna Aerodrome,-8.562027778,158.1193056,Batuna Mission Station,Solomon Islands
GEF,Geva Airport,-7.575829983,156.5970001220703,Liangia,Solomon Islands
AGG,Angoram Airport,-4.057077,144.073841,Angoram,Papua New Guinea
AKS,Gwaunaru'u Airport,-8.70257,160.682007,Auki,Solomon Islands
BNY,Bellona/Anua Airport,-11.30222222,159.7983333,Anua,Solomon Islands
CHY,Choiseul Bay Airport,-6.711944,156.396111,Choiseul Bay,Solomon Islands
BAS,Ballalae Airport,-6.990745,155.886656,Ballalae,Solomon Islands
FRE,Fera/Maringe Airport,-8.1075,159.576996,Fera Island,Solomon Islands
HIR,Honiara International Airport,-9.428,160.054993,Honiara,Solomon Islands
MBU,Babanakira Airport,-9.7475,159.839005,Mbambanakira,Solomon Islands
AVU,Avu Avu Airport,-9.868333,160.410556,Avu Avu,Solomon Islands
IRA,Ngorangora Airport,-10.44970036,161.897995,Kirakira,Solomon Islands
SCZ,Santa Cruz/Graciosa Bay/Luova Airport,-10.7203,165.794998,Santa Cruz/Graciosa Bay/Luova,Solomon Islands
MUA,Munda Airport,-8.32797,157.263,Munda,Solomon Islands
GZO,Nusatupe Airport,-8.097780228,156.8639984,Gizo,Solomon Islands
MNY,Mono Airport,-7.41694,155.565002,Stirling Island,Solomon Islands
PRS,Parasi Airport,-9.641670227,161.4250030517578,Parasi,Solomon Islands
RNL,Rennell/Tingoa Airport,-11.55,160.062778,Rennell Island,Solomon Islands
EGM,Sege Airport,-8.57889,157.876007,Sege,Solomon Islands
NNB,Santa Ana Airport,-10.847994,162.454108,Santa Ana Island,Solomon Islands
RUS,Marau Airport,-9.86167,160.824997,Marau,Solomon Islands
VAO,Suavanao Airport,-7.58556,158.731003,Suavanao,Solomon Islands
XYA,Yandina Airport,-9.092816,159.21841,Yandina,Solomon Islands
AGK,Kagua Airport,-6.396388889,143.8536111,Kagua,Papua New Guinea
KGE,Kaghau Airport,-7.3305,157.585,Kagau Island,Solomon Islands
KUE,Kukudu Airport,-8.0262,156.94783,Kolombangara Island,Solomon Islands
KWS,Kwailabesi Airport,-8.360508,160.775127,Kwailabesi,Solomon Islands
LLM,Lomlom Airport,-10.296828,166.327322,Lomlom,Solomon Islands
NAZ,Nana Airport,-10.6758,162.2049,Star Harbor,Solomon Islands
MHM,Manaoba Airport,-8.325008,160.80051,Manaoba,Solomon Islands
GTA,Gatokae Aerodrome,-8.738358,158.202836,Gatokae,Solomon Islands
RIN,Ringi Cove Airport,-8.126390457,157.14300537109375,Ringi Cove,Solomon Islands
RBV,Ramata Airport,-8.168060303,157.64300537109375,Ramata,Solomon Islands
AHY,Ambatolhy Airport,-20.01583333,45.535,Ambatolahy,Madagascar
AIC,Ailinglaplap Airok Airport,7.279422,168.8257,Bigatyelang Island,Marshall Islands
CEX,Chena Hot Springs Airport,65.05180359,-146.0469971,Chena Hot Springs,United States
SOL,Solomon State Field,64.5605,-164.4457,Solomon,United States
HED,Herendeen Bay Airport,55.802346,-160.901346,Herendeen Bay,United States
TWE,Taylor Airport,65.6792984,-164.798996,Taylor,United States
CDL,Candle 2 Airport,65.90769959,-161.9259949,Candle,United States
BSW,Boswell Bay Airport,60.42309952,-146.1459961,Boswell Bay,United States
AKM,Zakuoma Airport,10.89027778,19.81722222,ZaKouma,Chad
YUK,Syunik Airport,39.202272,46.455204,Kapan,Armenia
AME,Alto Molocue Airport,-15.61027778,37.68138889,Alto Molocue,Mozambique
AMY,Ambatomainty Airport,-17.686667,45.623889,,Madagascar
INU,Nauru International Airport,-0.547893,166.919525,Yaren,Nauru
ANZ,Angus Downs Airport,-25.0325,132.2748,Angus Downs Station,Australia
CTV,Catoca Airport,-9.431359,20.311557,Saurimo,Angola
ANL,Andulo Airport,-11.4723,16.710899,Andulo,Angola
CNZ,Cangamba Airport,-13.7106,19.861099,Cangamba,Angola
DRC,Dirico Airport,-17.981924,20.768061,Dirico,Angola
NDF,N'dalatando Airport,-9.280378,14.982432,N'dalatando,Angola
AOB,Annanberg Airport,-4.904166667,144.6358333,,Papua New Guinea
AOD,Abou-Deïa Airport,11.4773,19.2874,Abou-Deïa,Chad
APP,Asapa Airport,-8.979167,148.103611,,Papua New Guinea
AQY,Girdwood-Alyeska Airport,60.968774,-149.119792,Girdwood,United States
QRF,Bragado Airport,-35.145811,-60.480294,Bragado,Argentina
CVI,Caleta Olivia Airport,-46.37428,-67.59409,Caleta Olivia,Argentina
CNT,Charata Airport,-27.2164,-61.2103,Charata,Argentina
VGS,General Villegas Airport,-34.995728,-62.999725,General Villegas,Argentina
LMD,Los Menucos Airport,-40.817699,-68.074699,Los Menucos,Argentina
VCF,Valcheta Airport,-40.700001,-66.150002,Valcheta,Argentina
CPG,Carmen de Patagones Airport,-40.7781,-62.9803,Carmen de Patagones,Argentina
ARP,Aragip Airport,-9.883333333,149.4833333,,Papua New Guinea
ASZ,Asirim Airport,-6.009722222,150.3686111,,Papua New Guinea
WFR,(Duplicate)Wolf's Fang Runway,-71.5264,8.799459,Queen Maud Island,Antarctica
LYT,Lady Elliot Island Airstrip,-24.1129,152.7156,Lady Elliot Island,Australia
GYZ,Gruyere Airport,-28.034548,123.81506,Cosmo Newbery,Australia
AGW,Agnew Airport,-12.1456,142.149369,Agnew,Australia
AYD,Alroy Downs Airport,-19.2908,136.078995,Alroy Downs,Australia
BYX,Baniyala Airport,-13.1981,136.227005,Baniyala,Australia
COB,Coolibah Airport,-15.54829979,130.96200561523438,Coolibah,Australia
CRJ,Coorabie Airport,-31.89439964,132.29600524902344,Coorabie,Australia
CRY,Carlton Hill Airport,-15.50189972,128.53399658203125,Carlton Hill,Australia
